date,time_wib,trade_no,stock,command,price,volume,buyer,buyer_type,seller,seller_type,buyer_order_no,seller_order_no,nats_received_at,iqplus_seq
20260428,085800,12259,IMPC,0,2150,1600,--,-,--,-,0,0,2026-04-28T05:01:06.32901219Z,22725287
20260428,085800,12260,IMPC,0,2150,700,--,-,--,-,0,0,2026-04-28T05:01:06.329015129Z,22725288
20260428,085800,12261,IMPC,0,2150,9300,--,-,--,-,0,0,2026-04-28T05:01:06.329018144Z,22725289
20260428,085800,12262,IMPC,0,2150,1000,--,-,--,-,0,0,2026-04-28T05:01:06.329021631Z,22725290
20260428,085800,12263,IMPC,0,2150,400,--,-,--,-,0,0,2026-04-28T05:01:06.329024599Z,22725291
20260428,085800,12264,IMPC,0,2150,1000,--,-,--,-,0,0,2026-04-28T05:01:06.329027552Z,22725292
20260428,085800,12265,IMPC,0,2150,1100,--,-,--,-,0,0,2026-04-28T05:01:06.329030448Z,22725293
20260428,085800,12266,IMPC,0,2150,5000,--,-,--,-,0,0,2026-04-28T05:01:06.329033374Z,22725294
20260428,085800,12267,IMPC,0,2150,2300,--,-,--,-,0,0,2026-04-28T05:01:06.329036335Z,22725295
20260428,085800,12268,IMPC,0,2150,200,--,-,--,-,0,0,2026-04-28T05:01:06.329039228Z,22725296
20260428,085800,12269,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.329042155Z,22725297
20260428,085800,12270,IMPC,0,2150,1900,--,-,--,-,0,0,2026-04-28T05:01:06.329045025Z,22725298
20260428,085800,12271,IMPC,0,2150,500,--,-,--,-,0,0,2026-04-28T05:01:06.32904791Z,22725299
20260428,085800,12272,IMPC,0,2150,300,--,-,--,-,0,0,2026-04-28T05:01:06.329050829Z,22725300
20260428,085800,12273,IMPC,0,2150,900,--,-,--,-,0,0,2026-04-28T05:01:06.329053714Z,22725301
20260428,085800,12274,IMPC,0,2150,1800,--,-,--,-,0,0,2026-04-28T05:01:06.329056591Z,22725302
20260428,085800,12275,IMPC,0,2150,1800,--,-,--,-,0,0,2026-04-28T05:01:06.329059531Z,22725303
20260428,085800,12276,IMPC,0,2150,3800,--,-,--,-,0,0,2026-04-28T05:01:06.329062478Z,22725304
20260428,085800,12277,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.329067468Z,22725305
20260428,085800,12278,IMPC,0,2150,200,--,-,--,-,0,0,2026-04-28T05:01:06.329070489Z,22725306
20260428,085800,12279,IMPC,0,2150,300,--,-,--,-,0,0,2026-04-28T05:01:06.32907341Z,22725307
20260428,085800,12280,IMPC,0,2150,300,--,-,--,-,0,0,2026-04-28T05:01:06.329076425Z,22725308
20260428,085800,12281,IMPC,0,2150,1000,--,-,--,-,0,0,2026-04-28T05:01:06.32907949Z,22725309
20260428,085800,12282,IMPC,0,2150,1000,--,-,--,-,0,0,2026-04-28T05:01:06.329082395Z,22725310
20260428,085800,12283,IMPC,0,2150,50000,--,-,--,-,0,0,2026-04-28T05:01:06.329085548Z,22725311
20260428,085800,12284,IMPC,0,2150,3300,--,-,--,-,0,0,2026-04-28T05:01:06.329088452Z,22725312
20260428,085800,12285,IMPC,0,2150,200,--,-,--,-,0,0,2026-04-28T05:01:06.329091401Z,22725313
20260428,085800,12286,IMPC,0,2150,300,--,-,--,-,0,0,2026-04-28T05:01:06.329094607Z,22725314
20260428,085800,12287,IMPC,0,2150,500,--,-,--,-,0,0,2026-04-28T05:01:06.329097587Z,22725315
20260428,085800,12288,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.32910062Z,22725316
20260428,085800,12289,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.329103621Z,22725317
20260428,085800,12290,IMPC,0,2150,12000,--,-,--,-,0,0,2026-04-28T05:01:06.329106592Z,22725318
20260428,085800,12291,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.329109596Z,22725319
20260428,085800,12292,IMPC,0,2150,50000,--,-,--,-,0,0,2026-04-28T05:01:06.329112506Z,22725320
20260428,085800,12293,IMPC,0,2150,200,--,-,--,-,0,0,2026-04-28T05:01:06.329115502Z,22725321
20260428,085800,12294,IMPC,0,2150,2200,--,-,--,-,0,0,2026-04-28T05:01:06.329118399Z,22725322
20260428,085800,12295,IMPC,0,2150,200,--,-,--,-,0,0,2026-04-28T05:01:06.329121351Z,22725323
20260428,085800,12296,IMPC,0,2150,1000,--,-,--,-,0,0,2026-04-28T05:01:06.329124333Z,22725324
20260428,085800,12297,IMPC,0,2150,300,--,-,--,-,0,0,2026-04-28T05:01:06.329127375Z,22725325
20260428,085800,12298,IMPC,0,2150,100,--,-,--,-,0,0,2026-04-28T05:01:06.329130267Z,22725326
20260428,085800,12299,IMPC,0,2150,1200,--,-,--,-,0,0,2026-04-28T05:01:06.32913315Z,22725327
20260428,085800,12300,IMPC,0,2150,400,--,-,--,-,0,0,2026-04-28T05:01:06.329136129Z,22725328
20260428,090001,31543,IMPC,0,2150,7500,--,-,--,-,0,458940,2026-04-28T05:01:06.939922597Z,22744598
20260428,090001,31544,IMPC,0,2150,2500,--,-,--,-,0,511178,2026-04-28T05:01:06.940123803Z,22744599
20260428,090001,31645,IMPC,0,2140,5000,--,-,--,-,16690,0,2026-04-28T05:01:06.943166887Z,22744700
20260428,090001,31646,IMPC,0,2140,400,--,-,--,-,76827,0,2026-04-28T05:01:06.943174344Z,22744701
20260428,090001,31647,IMPC,0,2140,500,--,-,--,-,83220,0,2026-04-28T05:01:06.9431818Z,22744702
20260428,090001,31648,IMPC,0,2140,100,--,-,--,-,125044,0,2026-04-28T05:01:06.943189201Z,22744703
20260428,090001,31649,IMPC,0,2140,1800,--,-,--,-,133715,0,2026-04-28T05:01:06.943196667Z,22744704
20260428,090001,31650,IMPC,0,2140,1800,--,-,--,-,135979,0,2026-04-28T05:01:06.943204012Z,22744705
20260428,090001,31651,IMPC,0,2140,600,--,-,--,-,158829,0,2026-04-28T05:01:06.943211343Z,22744706
20260428,090001,31652,IMPC,0,2140,1600,--,-,--,-,183151,0,2026-04-28T05:01:06.943218684Z,22744707
20260428,090001,31653,IMPC,0,2140,1000,--,-,--,-,206227,0,2026-04-28T05:01:06.943225976Z,22744708
20260428,090001,31654,IMPC,0,2140,1400,--,-,--,-,210412,0,2026-04-28T05:01:06.943234213Z,22744709
20260428,090001,31655,IMPC,0,2140,500,--,-,--,-,211750,0,2026-04-28T05:01:06.943261976Z,22744710
20260428,090001,31656,IMPC,0,2140,8800,--,-,--,-,219430,0,2026-04-28T05:01:06.943269636Z,22744711
20260428,090001,31703,IMPC,0,2140,5200,--,-,--,-,219430,0,2026-04-28T05:01:06.943666705Z,22744758
20260428,090001,31704,IMPC,0,2140,6400,--,-,--,-,353806,0,2026-04-28T05:01:06.943674046Z,22744759
20260428,090001,31708,IMPC,0,2140,8600,--,-,--,-,353806,0,2026-04-28T05:01:06.943703244Z,22744763
20260428,090001,31709,IMPC,0,2140,500,--,-,--,-,427147,0,2026-04-28T05:01:06.943710538Z,22744764
20260428,090001,31710,IMPC,0,2140,1000,--,-,--,-,443448,0,2026-04-28T05:01:06.943717923Z,22744765
20260428,090001,31711,IMPC,0,2140,2000,--,-,--,-,445801,0,2026-04-28T05:01:06.94372525Z,22744766
20260428,090001,31712,IMPC,0,2140,500,--,-,--,-,447681,0,2026-04-28T05:01:06.943732613Z,22744767
20260428,090001,31713,IMPC,0,2140,100,--,-,--,-,455140,0,2026-04-28T05:01:06.94373992Z,22744768
20260428,090001,31714,IMPC,0,2140,1000,--,-,--,-,473144,0,2026-04-28T05:01:06.94374729Z,22744769
20260428,090001,31715,IMPC,0,2140,7700,--,-,--,-,482636,0,2026-04-28T05:01:06.943754663Z,22744770
20260428,090001,31723,IMPC,0,2140,1100,--,-,--,-,482636,0,2026-04-28T05:01:06.943812573Z,22744778
20260428,090001,31724,IMPC,0,2140,10000,--,-,--,-,483321,0,2026-04-28T05:01:06.943819778Z,22744779
20260428,090001,31725,IMPC,0,2140,1800,--,-,--,-,486091,0,2026-04-28T05:01:06.94382692Z,22744780
20260428,090001,31788,IMPC,0,2150,11000,--,-,--,-,0,511178,2026-04-28T05:01:06.944295886Z,22744843
20260428,090001,31789,IMPC,0,2150,9000,--,-,--,-,0,512498,2026-04-28T05:01:06.944303061Z,22744844
20260428,090001,31798,IMPC,0,2150,1800,--,-,--,-,0,512498,2026-04-28T05:01:06.944383114Z,22744853
20260428,090001,32065,IMPC,0,2150,1900,--,-,--,-,513622,0,2026-04-28T05:01:06.957633086Z,22745120
20260428,090002,37977,IMPC,0,2170,3600,--,-,--,-,0,443396,2026-04-28T05:01:07.11514511Z,22751034
20260428,090003,38426,IMPC,0,2170,3700,--,-,--,-,0,443396,2026-04-28T05:01:07.124640724Z,22751483
20260428,090003,38427,IMPC,0,2170,200,--,-,--,-,0,517905,2026-04-28T05:01:07.124643457Z,22751484
20260428,090015,50868,IMPC,0,2160,14400,--,-,--,-,563550,0,2026-04-28T05:01:07.613358138Z,22763935
20260428,090023,54242,IMPC,0,2170,15400,--,-,--,-,0,517905,2026-04-28T05:01:07.671250941Z,22767317
20260428,090023,54243,IMPC,0,2170,500,--,-,--,-,0,546501,2026-04-28T05:01:07.671255242Z,22767318
20260428,090023,54244,IMPC,0,2170,6900,--,-,--,-,0,547907,2026-04-28T05:01:07.671259631Z,22767319
20260428,090034,58926,IMPC,0,2160,15000,--,-,--,-,0,591610,2026-04-28T05:01:07.812989916Z,22772009
20260428,090042,61997,IMPC,0,2160,4000,--,-,--,-,0,591610,2026-04-28T05:01:07.909962817Z,22775088
20260428,090042,61998,IMPC,0,2160,15800,--,-,--,-,0,591838,2026-04-28T05:01:07.909967198Z,22775089
20260428,090042,61999,IMPC,0,2160,2200,--,-,--,-,0,595304,2026-04-28T05:01:07.909971526Z,22775090
20260428,090042,62000,IMPC,0,2160,200,--,-,--,-,0,597140,2026-04-28T05:01:07.909975895Z,22775091
20260428,090042,62001,IMPC,0,2160,3800,--,-,--,-,0,597143,2026-04-28T05:01:07.909980112Z,22775092
20260428,090042,62002,IMPC,0,2160,3600,--,-,--,-,0,597145,2026-04-28T05:01:07.909984223Z,22775093
20260428,090042,62003,IMPC,0,2160,1000,--,-,--,-,0,597164,2026-04-28T05:01:07.909988318Z,22775094
20260428,090042,62004,IMPC,0,2160,6300,--,-,--,-,0,597165,2026-04-28T05:01:07.909992431Z,22775095
20260428,090042,62005,IMPC,0,2160,9100,--,-,--,-,0,603178,2026-04-28T05:01:07.909996539Z,22775096
20260428,090042,62032,IMPC,0,2160,4000,--,-,--,-,604738,0,2026-04-28T05:01:07.910523729Z,22775123
20260428,090043,62645,IMPC,0,2170,200,--,-,--,-,0,589205,2026-04-28T05:01:07.929712059Z,22775736
20260428,090043,62646,IMPC,0,2170,200,--,-,--,-,0,590017,2026-04-28T05:01:07.929714945Z,22775737
20260428,090043,62647,IMPC,0,2170,3300,--,-,--,-,0,590970,2026-04-28T05:01:07.929717852Z,22775738
20260428,090045,63606,IMPC,0,2170,8400,--,-,--,-,0,590970,2026-04-28T05:01:07.960626063Z,22776708
20260428,090045,63607,IMPC,0,2170,8600,--,-,--,-,0,604878,2026-04-28T05:01:07.960630107Z,22776709
20260428,090045,63608,IMPC,0,2170,200,--,-,--,-,0,605639,2026-04-28T05:01:07.960634145Z,22776710
20260428,090045,63621,IMPC,0,2170,22800,--,-,--,-,607124,0,2026-04-28T05:01:07.960687932Z,22776723
20260428,090053,66549,IMPC,0,2170,100,--,-,--,-,0,611732,2026-04-28T05:01:08.047884519Z,22779656
